feature,importance
AvgStintPace,0.9035602125010765
PaceLossFromBest,0.07950341827781801
TireDegradationRate,0.006704074502351464
FuelLoadProxy,0.0024440215313802347
CumulativeDegradation,0.001733473634801899
LapNumber,0.001573550699611135
StintLength,0.0012760172929712676
TireLifeRemaining,0.0007314429979697721
StintNumber,0.0005806681450040316
RaceProgress,0.0005472801690891922
LapsSinceLastPit,0.00034824650537806787
LapInStint,0.00029516055611808776
InPitWindow,0.00028115853498331036
IsMedium,0.0002478586084785431
IsHard,0.00012827468096149333
IsSoft,4.514136200713779e-05
