rank,total_time,n_stops,pit_laps,tire_sequence,time_delta
1,1406.7881034482762,1,[17],HARD → MEDIUM,0.0
2,1738.6008620689656,1,[21],SOFT → MEDIUM,331.81275862068946
3,1738.6008620689656,1,[21],HARD → MEDIUM,331.81275862068946
4,1758.1008620689656,2,"[10, 21]",HARD → SOFT → HARD,351.31275862068946
5,1921.8020689655173,2,"[10, 23]",MEDIUM → SOFT → MEDIUM,515.0139655172411
6,2004.1813793103447,2,"[10, 24]",SOFT → MEDIUM → HARD,597.3932758620685
7,2089.359827586207,2,"[13, 25]",HARD → SOFT → HARD,682.5717241379307
8,2170.2174137931033,2,"[12, 26]",MEDIUM → SOFT → HARD,763.4293103448272
9,2173.0774137931044,2,"[13, 26]",HARD → MEDIUM → HARD,766.2893103448282
10,2236.894137931035,1,[27],HARD → MEDIUM,830.1060344827588
